id,flow_rate,device_id,timeInstant,humidity,humiditySoil,temperature,commandInfo,totalFlow,created_at
3b22d5fc-aed3-11ec-a0ff-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:11:19,92.00,68.40,25.70,false,751,1648584673
5ecc844e-aed3-11ec-89b2-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:12:19,91.50,69.84,25.70,false,751,1648584733
82b47b32-aed3-11ec-8ac6-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:13:19,91.00,68.08,25.60,false,751,1648584793
a65a4148-aed3-11ec-9464-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:14:19,91.00,69.30,25.62,false,751,1648584853
ca1fcef4-aed3-11ec-b1d2-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:15:19,90.60,67.94,25.60,false,751,1648584913
edf171b6-aed3-11ec-85b4-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:16:19,89.00,69.13,25.60,false,751,1648584973
11acf2a6-aed4-11ec-85ad-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:17:19,90.75,68.86,25.58,false,751,1648585033
35a557b6-aed4-11ec-b900-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:18:19,89.25,68.40,25.52,false,751,1648585093
599f62ec-aed4-11ec-aea6-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:19:19,87.20,68.35,25.42,false,751,1648585153
7e94bcc8-aed4-11ec-9f4b-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:20:19,85.33,69.91,25.40,false,751,1648585213
a149e5d6-aed4-11ec-9f3d-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:21:19,86.00,69.65,25.40,false,751,1648585273
c59bdee4-aed4-11ec-b946-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:22:19,83.00,70.18,25.30,false,751,1648585333
e9056e40-aed4-11ec-b1d0-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:23:19,82.00,69.16,25.32,false,751,1648585393
0cbddd54-aed5-11ec-bafc-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:24:19,81.40,70.13,25.40,false,751,1648585453
309474d6-aed5-11ec-b68c-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:25:19,79.50,73.04,25.60,false,751,1648585513
4b61390c-afc5-11ec-ae77-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:04:04,76.00,100.0084.75,24.40,false," 0",1648591444
698e11ec-afc6-11ec-a3e4-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:12:05,76.00,100.0084.75,24.40,false," 0",1648591925
87c92196-afc7-11ec-a575-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:20:05,76.00,100.0085.40,24.30,false," 0",1648592405
a5f259fc-afc8-11ec-87c3-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:28:05,76.00,100.0085.00,24.30,false," 0",1648592885
c41c53d2-afc9-11ec-8320-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:36:05,76.00,100.0085.00,24.30,false," 0",1648593365
ff7edaee-b07d-11ec-a207-0e9170a2fd2b," 0",Thing:smartirrigation005,30-03-2022T20:06:14,66.00,0.00,27.50,true,53,1648670774
5907a9fa-aec7-11ec-a622-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:46:15,27.00,68.72,39.74,false,751,1648579573
7ccb3154-aec7-11ec-921c-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:47:15,23.50,69.57,41.55,false,751,1648579633
a092b9fe-aec7-11ec-a927-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:48:15,24.60,70.13,40.42,false,751,1648579693
c4560b84-aec7-11ec-b7d1-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:49:15,29.00,70.28,38.32,false,751,1648579753
e8212382-aec7-11ec-a889-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:50:15,33.75,69.94,35.83,false,751,1648579813
0bfbbd76-aec8-11ec-afa4-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:51:15,36.40,70.38,34.66,false,751,1648579873
3004f1e2-aec8-11ec-81cd-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:52:15,38.67,69.74,34.23,false,751,1648579933
53aecd7a-aec8-11ec-b033-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:53:15,40.00,70.06,33.95,false,751,1648579993
776fb13e-aec8-11ec-abc5-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:54:15,36.00,70.70,35.25,false,751,1648580053
9b32ca02-aec8-11ec-bc8c-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:55:15,35.00,70.38,35.38,false,751,1648580113
bf093fba-aec8-11ec-bcb6-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:56:15,34.20,70.04,36.62,false,751,1648580173
e2ee17ac-aec8-11ec-8d36-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:57:15,34.00,71.31,36.04,false,751,1648580233
06b99b84-aec9-11ec-8724-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:58:15,33.80,71.26,35.36,false,751,1648580293
2a71b3cc-aec9-11ec-bd0b-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:59:15,35.60,70.23,34.86,false,751,1648580353
4e22ad8a-aec9-11ec-bb74-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:00:16,37.00,70.23,34.70,false,751,1648580413
71fd38f6-aec9-11ec-b4b3-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:01:16,37.00,69.94,34.70,false,751,1648580473
95c4e4aa-aec9-11ec-b1fa-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:02:16,39.00,71.11,34.02,false,751,1648580533
b9a20c2c-aec9-11ec-9a51-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:03:16,39.75,71.01,33.85,false,751,1648580593
dd47831e-aec9-11ec-b52a-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:04:16,42.00,69.06,33.28,false,751,1648580653
00fd42f8-aeca-11ec-8691-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:05:16,42.80,70.55,33.10,false,751,1648580713
24baf9b0-aeca-11ec-b2f1-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:06:16,43.00,70.92,32.76,false,751,1648580773
4891b8a6-aeca-11ec-b6b3-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:07:16,44.25,71.31,32.25,false,751,1648580833
8e93ad04-b07e-11ec-bdce-0e9170a2fd2b," 0",Thing:smartirrigation005,30-03-2022T20:10:14,65.80,0.00,27.60,true," 0",1648671014
